KEY_CODE,市区町村,地価平均,年度,人口
8201,水戸市,113888,2002年,262949
8201,水戸市,101556,2003年,263845
8201,水戸市,89555,2004年,264136
8201,水戸市,81710,2005年,262603
8201,水戸市,76908,2006年,263267
8201,水戸市,74813,2007年,263661
8201,水戸市,75058,2008年,264171
8201,水戸市,72619,2009年,265270
8201,水戸市,69413,2010年,268750
8201,水戸市,66602,2011年,269025
8201,水戸市,62440,2012年,269681
8201,水戸市,58828,2013年,270859
8201,水戸市,56601,2014年,270876
8201,水戸市,54989,2015年,270783
8201,水戸市,53807,2016年,271047
8201,水戸市,53740,2017年,270775
8201,水戸市,53420,2018年,270289
8201,水戸市,53207,2019年,269661
8201,水戸市,53031,2020年,270685
8201,水戸市,52728,2021年,270450
8201,水戸市,52298,2022年,269502
8201,水戸市,52016,2023年,268231
8202,日立市,75152,2002年,204679
8202,日立市,68722,2003年,203502
8202,日立市,63135,2004年,201785
8202,日立市,58266,2005年,199218
8202,日立市,54747,2006年,197880
8202,日立市,53270,2007年,196251
8202,日立市,52156,2008年,194750
8202,日立市,50778,2009年,193559
8202,日立市,47900,2010年,193129
8202,日立市,45522,2011年,191422
8202,日立市,41864,2012年,189829
8202,日立市,40540,2013年,187503
8202,日立市,40588,2014年,185206
8202,日立市,39883,2015年,185054
8202,日立市,39224,2016年,182905
8202,日立市,38897,2017年,180781
8202,日立市,38646,2018年,178658
8202,日立市,38436,2019年,176069
8202,日立市,38099,2020年,174508
8202,日立市,37873,2021年,171888
8202,日立市,37712,2022年,169036
8202,日立市,37569,2023年,166302
8203,土浦市,74703,2002年,144788
8203,土浦市,65067,2003年,144404
8203,土浦市,56618,2004年,144612
8203,土浦市,49978,2005年,144060
8203,土浦市,45071,2006年,143703
8203,土浦市,42140,2007年,143909
8203,土浦市,41210,2008年,143700
8203,土浦市,40202,2009年,144534
8203,土浦市,38535,2010年,143839
8203,土浦市,36607,2011年,143460
8203,土浦市,34820,2012年,143404
8203,土浦市,33295,2013年,142567
8203,土浦市,34340,2014年,142059
8203,土浦市,34178,2015年,140804
8203,土浦市,32787,2016年,140226
8203,土浦市,32990,2017年,139653
8203,土浦市,32976,2018年,139414
8203,土浦市,32990,2019年,138517
8203,土浦市,33019,2020年,142074
8203,土浦市,32863,2021年,141844
8203,土浦市,33100,2022年,141980
8203,土浦市,32876,2023年,142066
8204,古河市,66520,2002年,146674
8204,古河市,62569,2003年,146640
8204,古河市,57146,2004年,146714
8204,古河市,52260,2005年,145265
8204,古河市,48832,2006年,144760
8204,古河市,47471,2007年,144389
8204,古河市,46847,2008年,144228
8204,古河市,45991,2009年,143870
8204,古河市,44822,2010年,142995
8204,古河市,43185,2011年,142435
8204,古河市,41958,2012年,142298
8204,古河市,41097,2013年,141952
8204,古河市,40431,2014年,141188
8204,古河市,40309,2015年,140946
8204,古河市,40644,2016年,140509
8204,古河市,40602,2017年,140556
8204,古河市,40602,2018年,139853
8204,古河市,40617,2019年,139274
8204,古河市,40655,2020年,139344
8204,古河市,40602,2021年,138620
8204,古河市,40638,2022年,138209
8204,古河市,39979,2023年,137715
8205,石岡市,47988,2002年,83053
8205,石岡市,44081,2003年,83147
8205,石岡市,39162,2004年,83048
8205,石岡市,35076,2005年,81887
8205,石岡市,31461,2006年,81277
8205,石岡市,29100,2007年,80598
8205,石岡市,27872,2008年,80105
8205,石岡市,26843,2009年,79307
8205,石岡市,25410,2010年,79687
8205,石岡市,23875,2011年,78849
8205,石岡市,22360,2012年,78057
