KEY_CODE,市区町村,年度,人口
8201,水戸市,2002年,262949
8201,水戸市,2003年,263845
8201,水戸市,2004年,264136
8201,水戸市,2005年,262603
8201,水戸市,2006年,263267
8201,水戸市,2007年,263661
8201,水戸市,2008年,264171
8201,水戸市,2009年,265270
8201,水戸市,2010年,268750
8201,水戸市,2011年,269025
8201,水戸市,2012年,269681
8201,水戸市,2013年,270859
8201,水戸市,2014年,270876
8201,水戸市,2015年,270783
8201,水戸市,2016年,271047
8201,水戸市,2017年,270775
8201,水戸市,2018年,270289
8201,水戸市,2019年,269661
8201,水戸市,2020年,270685
8201,水戸市,2021年,270450
8201,水戸市,2022年,269502
8201,水戸市,2023年,268231
8202,日立市,2002年,204679
8202,日立市,2003年,203502
8202,日立市,2004年,201785
8202,日立市,2005年,199218
8202,日立市,2006年,197880
8202,日立市,2007年,196251
8202,日立市,2008年,194750
8202,日立市,2009年,193559
8202,日立市,2010年,193129
8202,日立市,2011年,191422
8202,日立市,2012年,189829
8202,日立市,2013年,187503
8202,日立市,2014年,185206
8202,日立市,2015年,185054
8202,日立市,2016年,182905
8202,日立市,2017年,180781
8202,日立市,2018年,178658
8202,日立市,2019年,176069
8202,日立市,2020年,174508
8202,日立市,2021年,171888
8202,日立市,2022年,169036
8202,日立市,2023年,166302
8203,土浦市,2002年,144788
8203,土浦市,2003年,144404
8203,土浦市,2004年,144612
8203,土浦市,2005年,144060
8203,土浦市,2006年,143703
8203,土浦市,2007年,143909
8203,土浦市,2008年,143700
8203,土浦市,2009年,144534
8203,土浦市,2010年,143839
8203,土浦市,2011年,143460
8203,土浦市,2012年,143404
8203,土浦市,2013年,142567
8203,土浦市,2014年,142059
8203,土浦市,2015年,140804
8203,土浦市,2016年,140226
8203,土浦市,2017年,139653
8203,土浦市,2018年,139414
8203,土浦市,2019年,138517
8203,土浦市,2020年,142074
8203,土浦市,2021年,141844
8203,土浦市,2022年,141980
8203,土浦市,2023年,142066
8204,古河市,2002年,146674
8204,古河市,2003年,146640
8204,古河市,2004年,146714
8204,古河市,2005年,145265
8204,古河市,2006年,144760
8204,古河市,2007年,144389
8204,古河市,2008年,144228
8204,古河市,2009年,143870
8204,古河市,2010年,142995
8204,古河市,2011年,142435
8204,古河市,2012年,142298
8204,古河市,2013年,141952
8204,古河市,2014年,141188
8204,古河市,2015年,140946
8204,古河市,2016年,140509
8204,古河市,2017年,140556
8204,古河市,2018年,139853
8204,古河市,2019年,139274
8204,古河市,2020年,139344
8204,古河市,2021年,138620
8204,古河市,2022年,138209
8204,古河市,2023年,137715
8205,石岡市,2002年,83053
8205,石岡市,2003年,83147
8205,石岡市,2004年,83048
8205,石岡市,2005年,81887
8205,石岡市,2006年,81277
8205,石岡市,2007年,80598
8205,石岡市,2008年,80105
8205,石岡市,2009年,79307
8205,石岡市,2010年,79687
8205,石岡市,2011年,78849
8205,石岡市,2012年,78057
8205,石岡市,2013年,77302
8205,石岡市,2014年,76713
8205,石岡市,2015年,76020
8205,石岡市,2016年,75346
8205,石岡市,2017年,74666
8205,石岡市,2018年,73883
8205,石岡市,2019年,73110
8205,石岡市,2020年,73061
8205,石岡市,2021年,72050
8205,石岡市,2022年,71173
8205,石岡市,2023年,70333
8207,結城市,2002年,52803
8207,結城市,2003年,52858
8207,結城市,2004年,52851
8207,結城市,2005年,52460
8207,結城市,2006年,52317
8207,結城市,2007年,52048
8207,結城市,2008年,52145
8207,結城市,2009年,52180
8207,結城市,2010年,52494
8207,結城市,2011年,52187
8207,結城市,2012年,51901
8207,結城市,2013年,51726
8207,結城市,2014年,51642
8207,結城市,2015年,51594
8207,結城市,2016年,51603
8207,結城市,2017年,51476
8207,結城市,2018年,51160
8207,結城市,2019年,50817
8207,結城市,2020年,50645
8207,結城市,2021年,50018
8207,結城市,2022年,49768
8207,結城市,2023年,49321
8208,龍ケ崎市,2002年,78557
8208,龍ケ崎市,2003年,79274
8208,龍ケ崎市,2004年,79879
8208,龍ケ崎市,2005年,78950
8208,龍ケ崎市,2006年,79178
8208,龍ケ崎市,2007年,79117
8208,龍ケ崎市,2008年,79215
8208,龍ケ崎市,2009年,79410
8208,龍ケ崎市,2010年,80334
8208,龍ケ崎市,2011年,80014
8208,龍ケ崎市,2012年,79570
8208,龍ケ崎市,2013年,79279
8208,龍ケ崎市,2014年,78945
8208,龍ケ崎市,2015年,78342
8208,龍ケ崎市,2016年,77894
8208,龍ケ崎市,2017年,77433
8208,龍ケ崎市,2018年,77078
8208,龍ケ崎市,2019年,76741
8208,龍ケ崎市,2020年,76420
8208,龍ケ崎市,2021年,76014
8208,龍ケ崎市,2022年,75605
8208,龍ケ崎市,2023年,75338
8210,下妻市,2002年,46788
8210,下妻市,2003年,46816
8210,下妻市,2004年,46863
8210,下妻市,2005年,46435
8210,下妻市,2006年,46188
8210,下妻市,2007年,46001
8210,下妻市,2008年,45594
8210,下妻市,2009年,45437
8210,下妻市,2010年,44987
8210,下妻市,2011年,44527
8210,下妻市,2012年,44125
8210,下妻市,2013年,43829
8210,下妻市,2014年,43511
8210,下妻市,2015年,43293
8210,下妻市,2016年,42996
8210,下妻市,2017年,42705
8210,下妻市,2018年,42309
8210,下妻市,2019年,41964
8210,下妻市,2020年,42521
8210,下妻市,2021年,42169
8210,下妻市,2022年,41830
8210,下妻市,2023年,41590
8211,常総市,2002年,66815
8211,常総市,2003年,67213
8211,常総市,2004年,67551
8211,常総市,2005年,66536
8211,常総市,2006年,66107
8211,常総市,2007年,66018
8211,常総市,2008年,65815
8211,常総市,2009年,65540
8211,常総市,2010年,65320
8211,常総市,2011年,64778
8211,常総市,2012年,64258
8211,常総市,2013年,63634
8211,常総市,2014年,62957
8211,常総市,2015年,61483
8211,常総市,2016年,60893
8211,常総市,2017年,60829
8211,常総市,2018年,60337
8211,常総市,2019年,59647
8211,常総市,2020年,60834
8211,常総市,2021年,60393
8211,常総市,2022年,59999
8211,常総市,2023年,59432
8212,常陸太田市,2002年,61442
8212,常陸太田市,2003年,61118
8212,常陸太田市,2004年,60578
8212,常陸太田市,2005年,59802
8212,常陸太田市,2006年,59109
8212,常陸太田市,2007年,58573
8212,常陸太田市,2008年,57750
8212,常陸太田市,2009年,56987
8212,常陸太田市,2010年,56250
8212,常陸太田市,2011年,55424
8212,常陸太田市,2012年,54573
8212,常陸太田市,2013年,53684
8212,常陸太田市,2014年,52959
8212,常陸太田市,2015年,52294
8212,常陸太田市,2016年,51454
8212,常陸太田市,2017年,50728
8212,常陸太田市,2018年,49767
