罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,青葉町,2022/4/9,18,一戸建住宅,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,千葉中央,千葉寺駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022/3/24,23,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,新町,2022/5/23,10,道路上,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,千葉駅前交番,121011,千葉県,千葉市中央区,千葉寺町,2022/4/25,16,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,仁戸名町,2022/7/27,1,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,星久喜交番,121011,千葉県,千葉市中央区,松ケ丘町,2022/1/4,20,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,市場町,2022/5/2,17,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,末広２丁目,2022/11/4,6,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉中央,本千葉駅前交番,121011,千葉県,千葉市中央区,港町,2022/1/20,19,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,本町交番,121011,千葉県,千葉市中央区,院内１丁目,2022/11/10,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉中央,本町交番,121011,千葉県,千葉市中央区,中央１丁目,2022/4/22,18,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉中央,浜野駅前交番,121011,千葉県,千葉市中央区,生実町,2022/1/10,19,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
