学校名,都道府県,賞名,年度,部門,緯度,経度
松戸市立小金中学校,千葉県,銀,2023,中学A,35.8326308,139.9140395
市川市立第三中学校,千葉県,金,2023,中学A,35.74022264,139.9327639
柏市立酒井根中学校,千葉県,金,2023,中学A,35.82428154,139.9655734
柏市立柏高等学校,千葉県,金,2023,高校A,35.92471458,139.9397363
習志野市立習志野高等学校,千葉県,銀,2023,高校A,35.69449987,140.0657997
千葉県立幕張総合高等学校,千葉県,金,2023,高校A,35.64770489,140.0526716
神奈川大学,神奈川県,金,2023,大学A,35.48473217,139.6199906
松戸市立第四中学校,千葉県,銀,2022,中学A,35.79464187,139.96638
習志野市立第四中学校,千葉県,銀,2022,中学A,35.69326965,140.0732435
柏市立酒井根中学校,千葉県,金,2022,中学A,35.82428154,139.9655734
習志野市立習志野高等学校,千葉県,金,2022,高校A,35.69449987,140.0657997
柏市立柏高等学校,千葉県,銀,2022,高校A,35.92471458,139.9397363
常総学院高等学校,茨城県,銅,2022,高校A,36.05721829,140.1636195
神奈川大学,神奈川県,金,2022,大学A,35.48473217,139.6199906
海老名市立海老名中学校,神奈川県,金,2021,中学A,35.44995439,139.3980289
柏市立酒井根中学校,千葉県,金,2021,中学A,35.82428154,139.9655734
習志野市立第五中学校,千葉県,銀,2021,中学A,35.68912135,140.0285301
柏市立柏高等学校,千葉県,金,2021,高校A,35.92471458,139.9397363
習志野市立習志野高等学校,千葉県,金,2021,高校A,35.69449987,140.0657997
常総学院高等学校,茨城県,銀,2021,高校A,36.05721829,140.1636195
神奈川大学,神奈川県,金,2021,大学A,35.48473217,139.6199906
柏市立酒井根中学校,千葉県,金,2019,中学A,35.82428154,139.9655734
松戸市立第四中学校,千葉県,銀,2019,中学A,35.79464187,139.96638
松戸市立小金中学校,千葉県,銀,2019,中学A,35.8326308,139.9140395
柏市立柏高等学校,千葉県,銀,2019,高校A,35.92471458,139.9397363
常総学院高等学校,茨城県,銅,2019,高校A,36.05721829,140.1636195
習志野市立習志野高等学校,千葉県,銀,2019,高校A,35.69449987,140.0657997
神奈川大学,神奈川県,銀,2019,大学A,35.48473217,139.6199906
柏市立酒井根中学校,千葉県,金,2018,中学A,35.82428154,139.9655734
松戸市立小金中学校,千葉県,銀,2018,中学A,35.8326308,139.9140395
松戸市立第四中学校,千葉県,金,2018,中学A,35.79464187,139.96638
常総学院高等学校,茨城県,銅,2018,高校A,36.05721829,140.1636195
柏市立柏高等学校,千葉県,銀,2018,高校A,35.92471458,139.9397363
習志野市立習志野高等学校,千葉県,銀,2018,高校A,35.69449987,140.0657997
神奈川大学,神奈川県,金,2018,大学A,35.48473217,139.6199906
